LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed Level,Unemployed Rate
CN1900700000000,19,7,"Appanoose County, IA",2014,"6,159","5,807",352,5.7
CN1900900000000,19,9,"Audubon County, IA",2014,"3,263","3,123",140,4.3
CN1901100000000,19,11,"Benton County, IA",2014,"13,882","13,242",640,4.6
CN1901300000000,19,13,"Black Hawk County, IA",2014,"72,258","68,715","3,543",4.9
CN1901500000000,19,15,"Boone County, IA",2014,"15,214","14,697",517,3.4
CN1901700000000,19,17,"Bremer County, IA",2014,"14,197","13,676",521,3.7
CN1901900000000,19,19,"Buchanan County, IA",2014,"11,482","10,948",534,4.7
CN1902100000000,19,21,"Buena Vista County, IA",2014,"11,497","11,042",455,4
CN1902300000000,19,23,"Butler County, IA",2014,"8,391","8,037",354,4.2
CN1902500000000,19,25,"Calhoun County, IA",2014,"4,427","4,213",214,4.8
CN1902700000000,19,27,"Carroll County, IA",2014,"11,241","10,886",355,3.2
CN1902900000000,19,29,"Cass County, IA",2014,"7,394","7,074",320,4.3
CN1903100000000,19,31,"Cedar County, IA",2014,"10,940","10,518",422,3.9
CN1903300000000,19,33,"Cerro Gordo County, IA",2014,"23,266","22,186","1,080",4.6
CN1903500000000,19,35,"Cherokee County, IA",2014,"6,640","6,302",338,5.1
CN1903700000000,19,37,"Chickasaw County, IA",2014,"6,488","6,181",307,4.7
CN1903900000000,19,39,"Clarke County, IA",2014,"4,684","4,475",209,4.5
CN1904100000000,19,41,"Clay County, IA",2014,"8,955","8,581",374,4.2
CN1904300000000,19,43,"Clayton County, IA",2014,"10,204","9,695",509,5
CN1904500000000,19,45,"Clinton County, IA",2014,"24,802","23,500","1,302",5.2
CN1904700000000,19,47,"Crawford County, IA",2014,"8,745","8,389",356,4.1
CN1904900000000,19,49,"Dallas County, IA",2014,"42,774","41,369","1,405",3.3
CN1905100000000,19,51,"Davis County, IA",2014,"4,116","3,905",211,5.1
CN1905300000000,19,53,"Decatur County, IA",2014,"4,446","4,278",168,3.8
CN1905500000000,19,55,"Delaware County, IA",2014,"10,541","10,143",398,3.8
CN1905700000000,19,57,"Des Moines County, IA",2014,"20,869","19,824","1,045",5
CN1905900000000,19,59,"Dickinson County, IA",2014,"9,725","9,270",455,4.7
CN1906100000000,19,61,"Dubuque County, IA",2014,"55,648","53,351","2,297",4.1
CN1906300000000,19,63,"Emmet County, IA",2014,"5,742","5,515",227,4
CN1906500000000,19,65,"Fayette County, IA",2014,"10,808","10,267",541,5
CN1906700000000,19,67,"Floyd County, IA",2014,"8,421","8,041",380,4.5
CN1906900000000,19,69,"Franklin County, IA",2014,"5,986","5,749",237,4
CN1907100000000,19,71,"Fremont County, IA",2014,"4,175","4,014",161,3.9
CN1907300000000,19,73,"Greene County, IA",2014,"5,281","5,068",213,4
CN1907500000000,19,75,"Grundy County, IA",2014,"6,733","6,453",280,4.2
CN1907700000000,19,77,"Guthrie County, IA",2014,"5,619","5,373",246,4.4
CN1907900000000,19,79,"Hamilton County, IA",2014,"7,109","6,787",322,4.5
CN1908100000000,19,81,"Hancock County, IA",2014,"6,306","6,098",208,3.3
CN1908300000000,19,83,"Hardin County, IA",2014,"8,721","8,344",377,4.3
CN1908500000000,19,85,"Harrison County, IA",2014,"7,548","7,246",302,4
CN1908700000000,19,87,"Henry County, IA",2014,"9,558","9,139",419,4.4
CN1908900000000,19,89,"Howard County, IA",2014,"5,323","5,108",215,4
CN1909100000000,19,91,"Humboldt County, IA",2014,"5,268","5,068",200,3.8
CN1909300000000,19,93,"Ida County, IA",2014,"3,895","3,756",139,3.6
CN1909500000000,19,95,"Iowa County, IA",2014,"10,222","9,795",427,4.2
CN1909700000000,19,97,"Jackson County, IA",2014,"11,035","10,477",558,5.1
CN1909900000000,19,99,"Jasper County, IA",2014,"19,356","18,501",855,4.4
CN1910100000000,19,101,"Jefferson County, IA",2014,"9,093","8,697",396,4.4
CN1910300000000,19,103,"Johnson County, IA",2014,"84,150","81,559","2,591",3.1
CN1910500000000,19,105,"Jones County, IA",2014,"10,810","10,278",532,4.9
CN1910700000000,19,107,"Keokuk County, IA",2014,"5,524","5,280",244,4.4
CN1910900000000,19,109,"Kossuth County, IA",2014,"8,675","8,397",278,3.2
CN1911100000000,19,111,"Lee County, IA",2014,"17,759","16,714","1,045",5.9
CN1911300000000,19,113,"Linn County, IA",2014,"121,179","115,865","5,314",4.4
CN1911500000000,19,115,"Louisa County, IA",2014,"5,942","5,675",267,4.5
CN1911700000000,19,117,"Lucas County, IA",2014,"4,317","4,149",168,3.9
CN1911900000000,19,119,"Lyon County, IA",2014,"7,026","6,847",179,2.5
CN1912100000000,19,121,"Madison County, IA",2014,"8,243","7,870",373,4.5
CN1912300000000,19,123,"Mahaska County, IA",2014,"11,877","11,356",521,4.4
CN1912500000000,19,125,"Marion County, IA",2014,"17,462","16,797",665,3.8
CN1912700000000,19,127,"Marshall County, IA",2014,"19,863","18,793","1,070",5.4
CN1912900000000,19,129,"Mills County, IA",2014,"7,409","7,085",324,4.4
CN1913100000000,19,131,"Mitchell County, IA",2014,"5,469","5,274",195,3.6
CN1913300000000,19,133,"Monona County, IA",2014,"4,763","4,526",237,5
CN1913500000000,19,135,"Monroe County, IA",2014,"4,080","3,875",205,5
CN1913700000000,19,137,"Montgomery County, IA",2014,"5,170","4,957",213,4.1
CN1913900000000,19,139,"Muscatine County, IA",2014,"22,149","21,145","1,004",4.5
CN1914100000000,19,141,"O'Brien County, IA",2014,"8,249","7,980",269,3.3
CN1914300000000,19,143,"Osceola County, IA",2014,"3,465","3,350",115,3.3
CN1914500000000,19,145,"Page County, IA",2014,"6,608","6,315",293,4.4
CN1914700000000,19,147,"Palo Alto County, IA",2014,"4,860","4,685",175,3.6
CN1914900000000,19,149,"Plymouth County, IA",2014,"14,686","14,183",503,3.4
CN1915100000000,19,151,"Pocahontas County, IA",2014,"4,334","4,183",151,3.5
CN1915300000000,19,153,"Polk County, IA",2014,"256,028","245,209","10,819",4.2
CN1915500000000,19,155,"Pottawattamie County, IA",2014,"49,263","47,151","2,112",4.3
CN1915700000000,19,157,"Poweshiek County, IA",2014,"10,420","9,977",443,4.3
CN1915900000000,19,159,"Ringgold County, IA",2014,"2,535","2,437",98,3.9
CN1916100000000,19,161,"Sac County, IA",2014,"5,564","5,346",218,3.9
CN1916300000000,19,163,"Scott County, IA",2014,"88,611","83,997","4,614",5.2
CN1916500000000,19,165,"Shelby County, IA",2014,"7,063","6,842",221,3.1
CN1916700000000,19,167,"Sioux County, IA",2014,"20,162","19,570",592,2.9
CN1916900000000,19,169,"Story County, IA",2014,"56,709","55,073","1,636",2.9
CN1917100000000,19,171,"Tama County, IA",2014,"9,252","8,764",488,5.3
CN1917300000000,19,173,"Taylor County, IA",2014,"3,247","3,128",119,3.7
CN1917500000000,19,175,"Union County, IA",2014,"6,825","6,504",321,4.7
CN1917700000000,19,177,"Van Buren County, IA",2014,"3,920","3,743",177,4.5
CN1917900000000,19,179,"Wapello County, IA",2014,"18,166","17,170",996,5.5
CN1918100000000,19,181,"Warren County, IA",2014,"26,810","25,749","1,061",4
CN1918300000000,19,183,"Washington County, IA",2014,"12,341","11,897",444,3.6
CN1918500000000,19,185,"Wayne County, IA",2014,"2,877","2,732",145,5
CN1918700000000,19,187,"Webster County, IA",2014,"19,856","18,896",960,4.8
CN1918900000000,19,189,"Winnebago County, IA",2014,"5,232","5,012",220,4.2
CN1919100000000,19,191,"Winneshiek County, IA",2014,"12,078","11,565",513,4.2
CN1919300000000,19,193,"Woodbury County, IA",2014,"56,036","53,581","2,455",4.4
CN1919500000000,19,195,"Worth County, IA",2014,"4,211","4,020",191,4.5
CN1919700000000,19,197,"Wright County, IA",2014,"6,960","6,676",284,4.1
CN2000100000000,20,1,"Allen County, KS",2014,"6,806","6,460",346,5.1
CN2000300000000,20,3,"Anderson County, KS",2014,"4,187","3,971",216,5.2
CN2000500000000,20,5,"Atchison County, KS",2014,"7,631","7,135",496,6.5
CN2000700000000,20,7,"Barber County, KS",2014,"2,715","2,632",83,3.1
CN2000900000000,20,9,"Barton County, KS",2014,"15,455","14,906",549,3.6
CN2001100000000,20,11,"Bourbon County, KS",2014,"7,093","6,720",373,5.3
CN2001300000000,20,13,"Brown County, KS",2014,"5,407","5,186",221,4.1
CN2001500000000,20,15,"Butler County, KS",2014,"31,944","30,387","1,557",4.9
CN2001700000000,20,17,"Chase County, KS",2014,"1,232","1,182",50,4.1
CN2001900000000,20,19,"Chautauqua County, KS",2014,"1,577","1,491",86,5.5
CN2002100000000,20,21,"Cherokee County, KS",2014,"10,349","9,828",521,5
CN2002300000000,20,23,"Cheyenne County, KS",2014,"1,314","1,273",41,3.1
CN2002500000000,20,25,"Clark County, KS",2014,"1,143","1,113",30,2.6
CN2002700000000,20,27,"Clay County, KS",2014,"4,169","3,985",184,4.4
CN2002900000000,20,29,"Cloud County, KS",2014,"4,389","4,204",185,4.2
CN2003100000000,20,31,"Coffey County, KS",2014,"4,893","4,614",279,5.7
CN2003300000000,20,33,"Comanche County, KS",2014,978,948,30,3.1
CN2003500000000,20,35,"Cowley County, KS",2014,"17,260","16,460",800,4.6
CN2003700000000,20,37,"Crawford County, KS",2014,"19,132","18,108","1,024",5.4
CN2003900000000,20,39,"Decatur County, KS",2014,"1,352","1,305",47,3.5
CN2004100000000,20,41,"Dickinson County, KS",2014,"9,719","9,227",492,5.1
CN2004300000000,20,43,"Doniphan County, KS",2014,"4,294","4,101",193,4.5
CN2004500000000,20,45,"Douglas County, KS",2014,"64,633","61,994","2,639",4.1
CN2004700000000,20,47,"Edwards County, KS",2014,"1,605","1,552",53,3.3
CN2004900000000,20,49,"Elk County, KS",2014,"1,308","1,241",67,5.1
CN2005100000000,20,51,"Ellis County, KS",2014,"17,905","17,412",493,2.8
CN2005300000000,20,53,"Ellsworth County, KS",2014,"3,445","3,343",102,3
CN2005500000000,20,55,"Finney County, KS",2014,"20,196","19,503",693,3.4
CN2005700000000,20,57,"Ford County, KS",2014,"18,174","17,483",691,3.8
CN2005900000000,20,59,"Franklin County, KS",2014,"14,049","13,331",718,5.1
CN2006100000000,20,61,"Geary County, KS",2014,"12,332","11,431",901,7.3
CN2006300000000,20,63,"Gove County, KS",2014,"1,483","1,444",39,2.6
CN2006500000000,20,65,"Graham County, KS",2014,"1,312","1,269",43,3.3
CN2006700000000,20,67,"Grant County, KS",2014,"3,936","3,802",134,3.4
CN2006900000000,20,69,"Gray County, KS",2014,"3,494","3,400",94,2.7
CN2007100000000,20,71,"Greeley County, KS",2014,897,878,19,2.1
CN2007300000000,20,73,"Greenwood County, KS",2014,"3,327","3,177",150,4.5
CN2007500000000,20,75,"Hamilton County, KS",2014,"1,662","1,623",39,2.3
CN2007700000000,20,77,"Harper County, KS",2014,"2,979","2,869",110,3.7
CN2007900000000,20,79,"Harvey County, KS",2014,"17,110","16,382",728,4.3
CN2008100000000,20,81,"Haskell County, KS",2014,"2,356","2,295",61,2.6
CN2008300000000,20,83,"Hodgeman County, KS",2014,"1,034",999,35,3.4
CN2008500000000,20,85,"Jackson County, KS",2014,"7,386","7,081",305,4.1
CN2008700000000,20,87,"Jefferson County, KS",2014,"10,215","9,722",493,4.8
CN2008900000000,20,89,"Jewell County, KS",2014,"1,380","1,326",54,3.9
CN2009100000000,20,91,"Johnson County, KS",2014,"320,747","308,630","12,117",3.8
CN2009300000000,20,93,"Kearny County, KS",2014,"2,117","2,052",65,3.1
CN2009500000000,20,95,"Kingman County, KS",2014,"3,603","3,459",144,4
CN2009700000000,20,97,"Kiowa County, KS",2014,"1,349","1,305",44,3.3
CN2009900000000,20,99,"Labette County, KS",2014,"10,772","10,144",628,5.8
CN2010100000000,20,101,"Lane County, KS",2014,863,835,28,3.2
CN2010300000000,20,103,"Leavenworth County, KS",2014,"34,990","33,245","1,745",5
CN2010500000000,20,105,"Lincoln County, KS",2014,"1,771","1,698",73,4.1
CN2010700000000,20,107,"Linn County, KS",2014,"4,319","3,997",322,7.5
CN2010900000000,20,109,"Logan County, KS",2014,"1,733","1,694",39,2.3
CN2011100000000,20,111,"Lyon County, KS",2014,"16,511","15,666",845,5.1
CN2011300000000,20,113,"McPherson County, KS",2014,"16,823","16,277",546,3.2
CN2011500000000,20,115,"Marion County, KS",2014,"6,139","5,889",250,4.1
CN2011700000000,20,117,"Marshall County, KS",2014,"5,876","5,686",190,3.2
CN2011900000000,20,119,"Meade County, KS",2014,"2,379","2,316",63,2.6
CN2012100000000,20,121,"Miami County, KS",2014,"16,853","16,058",795,4.7
CN2012300000000,20,123,"Mitchell County, KS",2014,"3,834","3,709",125,3.3
CN2012500000000,20,125,"Montgomery County, KS",2014,"17,335","16,338",997,5.8
CN2012700000000,20,127,"Morris County, KS",2014,"3,096","2,959",137,4.4
CN2012900000000,20,129,"Morton County, KS",2014,"1,488","1,429",59,4
CN2013100000000,20,131,"Nemaha County, KS",2014,"5,847","5,680",167,2.9
CN2013300000000,20,133,"Neosho County, KS",2014,"6,393","5,911",482,7.5
CN2013500000000,20,135,"Ness County, KS",2014,"1,613","1,569",44,2.7
CN2013700000000,20,137,"Norton County, KS",2014,"3,038","2,966",72,2.4
CN2013900000000,20,139,"Osage County, KS",2014,"8,138","7,695",443,5.4
CN2014100000000,20,141,"Osborne County, KS",2014,"2,057","1,980",77,3.7
CN2014300000000,20,143,"Ottawa County, KS",2014,"3,241","3,108",133,4.1
CN2014500000000,20,145,"Pawnee County, KS",2014,"3,389","3,261",128,3.8
CN2014700000000,20,147,"Phillips County, KS",2014,"2,907","2,805",102,3.5
CN2014900000000,20,149,"Pottawatomie County, KS",2014,"12,027","11,558",469,3.9
CN2015100000000,20,151,"Pratt County, KS",2014,"5,499","5,321",178,3.2
CN2015300000000,20,153,"Rawlins County, KS",2014,"1,515","1,478",37,2.4
CN2015500000000,20,155,"Reno County, KS",2014,"31,182","29,809","1,373",4.4
CN2015700000000,20,157,"Republic County, KS",2014,"2,567","2,489",78,3
CN2015900000000,20,159,"Rice County, KS",2014,"5,446","5,254",192,3.5
CN2016100000000,20,161,"Riley County, KS",2014,"36,570","35,219","1,351",3.7
CN2016300000000,20,163,"Rooks County, KS",2014,"2,849","2,746",103,3.6
CN2016500000000,20,165,"Rush County, KS",2014,"1,807","1,743",64,3.5
CN2016700000000,20,167,"Russell County, KS",2014,"3,836","3,701",135,3.5
CN2016900000000,20,169,"Saline County, KS",2014,"30,680","29,387","1,293",4.2
CN2017100000000,20,171,"Scott County, KS",2014,"2,851","2,773",78,2.7
CN2017300000000,20,173,"Sedgwick County, KS",2014,"246,940","233,675","13,265",5.4
CN2017500000000,20,175,"Seward County, KS",2014,"11,153","10,763",390,3.5
CN2017700000000,20,177,"Shawnee County, KS",2014,"91,849","87,465","4,384",4.8
CN2017900000000,20,179,"Sheridan County, KS",2014,"1,458","1,420",38,2.6
CN2018100000000,20,181,"Sherman County, KS",2014,"3,090","2,991",99,3.2
CN2018300000000,20,183,"Smith County, KS",2014,"2,116","2,050",66,3.1
CN2018500000000,20,185,"Stafford County, KS",2014,"2,162","2,081",81,3.7
CN2018700000000,20,187,"Stanton County, KS",2014,"1,026",992,34,3.3
CN2018900000000,20,189,"Stevens County, KS",2014,"3,364","3,263",101,3
CN2019100000000,20,191,"Sumner County, KS",2014,"11,065","10,537",528,4.8
CN2019300000000,20,193,"Thomas County, KS",2014,"4,378","4,251",127,2.9
CN2019500000000,20,195,"Trego County, KS",2014,"1,488","1,442",46,3.1
CN2019700000000,20,197,"Wabaunsee County, KS",2014,"3,759","3,604",155,4.1
CN2019900000000,20,199,"Wallace County, KS",2014,876,853,23,2.6
CN2020100000000,20,201,"Washington County, KS",2014,"3,104","3,004",100,3.2
CN2020300000000,20,203,"Wichita County, KS",2014,"1,234","1,199",35,2.8
CN2020500000000,20,205,"Wilson County, KS",2014,"4,169","3,881",288,6.9
CN2020700000000,20,207,"Woodson County, KS",2014,"1,627","1,541",86,5.3
CN2020900000000,20,209,"Wyandotte County, KS",2014,"75,548","70,372","5,176",6.9
CN2100100000000,21,1,"Adair County, KY",2014,"7,216","6,592",624,8.6
CN2100300000000,21,3,"Allen County, KY",2014,"8,658","8,147",511,5.9
CN2100500000000,21,5,"Anderson County, KY",2014,"11,416","10,822",594,5.2
CN2100700000000,21,7,"Ballard County, KY",2014,"3,672","3,378",294,8
CN2100900000000,21,9,"Barren County, KY",2014,"18,700","17,526","1,174",6.3
CN2101100000000,21,11,"Bath County, KY",2014,"4,716","4,297",419,8.9
CN2101300000000,21,13,"Bell County, KY",2014,"9,300","8,362",938,10.1
CN2101500000000,21,15,"Boone County, KY",2014,"65,181","61,810","3,371",5.2
CN2101700000000,21,17,"Bourbon County, KY",2014,"9,637","9,095",542,5.6
CN2101900000000,21,19,"Boyd County, KY",2014,"19,056","17,619","1,437",7.5
CN2102100000000,21,21,"Boyle County, KY",2014,"12,279","11,428",851,6.9
CN2102300000000,21,23,"Bracken County, KY",2014,"3,795","3,495",300,7.9
CN2102500000000,21,25,"Breathitt County, KY",2014,"4,176","3,699",477,11.4
CN2102700000000,21,27,"Breckinridge County, KY",2014,"8,076","7,494",582,7.2
CN2102900000000,21,29,"Bullitt County, KY",2014,"39,174","36,903","2,271",5.8
CN2103100000000,21,31,"Butler County, KY",2014,"5,184","4,796",388,7.5
CN2103300000000,21,33,"Caldwell County, KY",2014,"5,445","5,090",355,6.5
CN2103500000000,21,35,"Calloway County, KY",2014,"18,693","17,616","1,077",5.8
CN2103700000000,21,37,"Campbell County, KY",2014,"47,830","45,354","2,476",5.2
CN2103900000000,21,39,"Carlisle County, KY",2014,"2,380","2,237",143,6
CN2104100000000,21,41,"Carroll County, KY",2014,"4,863","4,517",346,7.1
CN2104300000000,21,43,"Carter County, KY",2014,"10,473","9,349","1,124",10.7
CN2104500000000,21,45,"Casey County, KY",2014,"6,612","6,162",450,6.8
CN2104700000000,21,47,"Christian County, KY",2014,"25,398","23,467","1,931",7.6
CN2104900000000,21,49,"Clark County, KY",2014,"16,959","15,922","1,037",6.1
CN2105100000000,21,51,"Clay County, KY",2014,"5,549","4,928",621,11.2
CN2105300000000,21,53,"Clinton County, KY",2014,"4,000","3,639",361,9
CN2105500000000,21,55,"Crittenden County, KY",2014,"3,867","3,628",239,6.2
CN2105700000000,21,57,"Cumberland County, KY",2014,"2,947","2,723",224,7.6
CN2105900000000,21,59,"Daviess County, KY",2014,"45,889","43,289","2,600",5.7
CN2106100000000,21,61,"Edmonson County, KY",2014,"4,776","4,377",399,8.4
CN2106300000000,21,63,"Elliott County, KY",2014,"2,152","1,908",244,11.3
CN2106500000000,21,65,"Estill County, KY",2014,"5,401","4,995",406,7.5
CN2106700000000,21,67,"Fayette County, KY",2014,"166,831","158,848","7,983",4.8
CN2106900000000,21,69,"Fleming County, KY",2014,"6,364","5,872",492,7.7
CN2107100000000,21,71,"Floyd County, KY",2014,"12,389","11,117","1,272",10.3
CN2107300000000,21,73,"Franklin County, KY",2014,"24,336","23,047","1,289",5.3
CN2107500000000,21,75,"Fulton County, KY",2014,"2,226","2,041",185,8.3
CN2107700000000,21,77,"Gallatin County, KY",2014,"3,859","3,589",270,7
CN2107900000000,21,79,"Garrard County, KY",2014,"7,582","7,087",495,6.5
CN2108100000000,21,81,"Grant County, KY",2014,"11,193","10,460",733,6.5
CN2108300000000,21,83,"Graves County, KY",2014,"15,845","14,661","1,184",7.5
CN2108500000000,21,85,"Grayson County, KY",2014,"10,853","9,942",911,8.4
CN2108700000000,21,87,"Green County, KY",2014,"5,077","4,745",332,6.5
CN2108900000000,21,89,"Greenup County, KY",2014,"14,277","13,059","1,218",8.5
CN2109100000000,21,91,"Hancock County, KY",2014,"3,977","3,737",240,6
CN2109300000000,21,93,"Hardin County, KY",2014,"46,565","43,673","2,892",6.2
CN2109500000000,21,95,"Harlan County, KY",2014,"8,392","7,221","1,171",14
CN2109700000000,21,97,"Harrison County, KY",2014,"8,415","7,911",504,6
CN2109900000000,21,99,"Hart County, KY",2014,"7,811","7,317",494,6.3
CN2110100000000,21,101,"Henderson County, KY",2014,"21,627","20,313","1,314",6.1
CN2110300000000,21,103,"Henry County, KY",2014,"7,633","7,194",439,5.8
CN2110500000000,21,105,"Hickman County, KY",2014,"2,126","1,994",132,6.2
CN2110700000000,21,107,"Hopkins County, KY",2014,"20,396","19,082","1,314",6.4
CN2110900000000,21,109,"Jackson County, KY",2014,"4,578","4,053",525,11.5
CN2111100000000,21,111,"Jefferson County, KY",2014,"377,049","354,329","22,720",6
CN2111300000000,21,113,"Jessamine County, KY",2014,"24,886","23,581","1,305",5.2
CN2111500000000,21,115,"Johnson County, KY",2014,"8,044","7,303",741,9.2
CN2111700000000,21,117,"Kenton County, KY",2014,"83,049","78,442","4,607",5.5
CN2111900000000,21,119,"Knott County, KY",2014,"5,130","4,559",571,11.1
CN2112100000000,21,121,"Knox County, KY",2014,"10,110","9,105","1,005",9.9
CN2112300000000,21,123,"Larue County, KY",2014,"5,761","5,381",380,6.6
CN2112500000000,21,125,"Laurel County, KY",2014,"24,105","22,267","1,838",7.6
CN2112700000000,21,127,"Lawrence County, KY",2014,"5,271","4,766",505,9.6
CN2112900000000,21,129,"Lee County, KY",2014,"2,310","2,086",224,9.7
CN2113100000000,21,131,"Leslie County, KY",2014,"3,172","2,764",408,12.9
CN2113300000000,21,133,"Letcher County, KY",2014,"7,239","6,345",894,12.3
CN2113500000000,21,135,"Lewis County, KY",2014,"5,167","4,669",498,9.6
CN2113700000000,21,137,"Lincoln County, KY",2014,"9,320","8,497",823,8.8
CN2113900000000,21,139,"Livingston County, KY",2014,"3,756","3,447",309,8.2
CN2114100000000,21,141,"Logan County, KY",2014,"11,909","11,236",673,5.7
CN2114300000000,21,143,"Lyon County, KY",2014,"2,978","2,770",208,7
CN2114500000000,21,145,"McCracken County, KY",2014,"29,453","27,389","2,064",7
CN2114700000000,21,147,"McCreary County, KY",2014,"5,040","4,508",532,10.6
CN2114900000000,21,149,"McLean County, KY",2014,"4,312","4,037",275,6.4
CN2115100000000,21,151,"Madison County, KY",2014,"45,264","42,813","2,451",5.4
CN2115300000000,21,153,"Magoffin County, KY",2014,"3,721","3,201",520,14
CN2115500000000,21,155,"Marion County, KY",2014,"9,182","8,596",586,6.4
CN2115700000000,21,157,"Marshall County, KY",2014,"14,946","13,939","1,007",6.7
CN2115900000000,21,159,"Martin County, KY",2014,"3,433","3,120",313,9.1
CN2116100000000,21,161,"Mason County, KY",2014,"7,735","7,123",612,7.9
CN2116300000000,21,163,"Meade County, KY",2014,"12,110","11,255",855,7.1
CN2116500000000,21,165,"Menifee County, KY",2014,"2,354","2,123",231,9.8
CN2116700000000,21,167,"Mercer County, KY",2014,"9,890","9,279",611,6.2
CN2116900000000,21,169,"Metcalfe County, KY",2014,"4,127","3,876",251,6.1
CN2117100000000,21,171,"Monroe County, KY",2014,"4,597","4,343",254,5.5
CN2117300000000,21,173,"Montgomery County, KY",2014,"11,744","10,867",877,7.5
CN2117500000000,21,175,"Morgan County, KY",2014,"4,790","4,339",451,9.4
CN2117700000000,21,177,"Muhlenberg County, KY",2014,"12,355","11,411",944,7.6
CN2117900000000,21,179,"Nelson County, KY",2014,"21,284","19,984","1,300",6.1
CN2118100000000,21,181,"Nicholas County, KY",2014,"3,449","3,182",267,7.7
CN2118300000000,21,183,"Ohio County, KY",2014,"9,511","8,780",731,7.7
CN2118500000000,21,185,"Oldham County, KY",2014,"30,238","28,805","1,433",4.7
CN2118700000000,21,187,"Owen County, KY",2014,"5,519","5,242",277,5
CN2118900000000,21,189,"Owsley County, KY",2014,"1,177","1,054",123,10.5
CN2119100000000,21,191,"Pendleton County, KY",2014,"6,754","6,304",450,6.7
CN2119300000000,21,193,"Perry County, KY",2014,"9,529","8,546",983,10.3
CN2119500000000,21,195,"Pike County, KY",2014,"21,975","19,665","2,310",10.5
CN2119700000000,21,197,"Powell County, KY",2014,"4,966","4,545",421,8.5
CN2119900000000,21,199,"Pulaski County, KY",2014,"26,254","24,325","1,929",7.3
CN2120100000000,21,201,"Robertson County, KY",2014,808,745,63,7.8
CN2120300000000,21,203,"Rockcastle County, KY",2014,"6,880","6,360",520,7.6
CN2120500000000,21,205,"Rowan County, KY",2014,"10,544","9,809",735,7
CN2120700000000,21,207,"Russell County, KY",2014,"6,578","5,904",674,10.2
CN2120900000000,21,209,"Scott County, KY",2014,"26,461","25,170","1,291",4.9
CN2121100000000,21,211,"Shelby County, KY",2014,"22,477","21,365","1,112",4.9
CN2121300000000,21,213,"Simpson County, KY",2014,"8,481","7,981",500,5.9
CN2121500000000,21,215,"Spencer County, KY",2014,"9,148","8,665",483,5.3
CN2121700000000,21,217,"Taylor County, KY",2014,"11,266","10,396",870,7.7
CN2121900000000,21,219,"Todd County, KY",2014,"5,455","5,159",296,5.4
CN2122100000000,21,221,"Trigg County, KY",2014,"5,711","5,307",404,7.1
CN2122300000000,21,223,"Trimble County, KY",2014,"3,873","3,591",282,7.3
CN2122500000000,21,225,"Union County, KY",2014,"6,752","6,319",433,6.4
CN2122700000000,21,227,"Warren County, KY",2014,"59,313","56,015","3,298",5.6
CN2122900000000,21,229,"Washington County, KY",2014,"6,118","5,786",332,5.4
CN2123100000000,21,231,"Wayne County, KY",2014,"7,250","6,548",702,9.7
CN2123300000000,21,233,"Webster County, KY",2014,"6,282","5,940",342,5.4
CN2123500000000,21,235,"Whitley County, KY",2014,"13,391","12,222","1,169",8.7
CN2123700000000,21,237,"Wolfe County, KY",2014,"2,054","1,822",232,11.3
CN2123900000000,21,239,"Woodford County, KY",2014,"14,224","13,589",635,4.5
CN2200100000000,22,1,"Acadia Parish, LA",2014,"26,689","25,150","1,539",5.8
CN2200300000000,22,3,"Allen Parish, LA",2014,"8,911","8,269",642,7.2
CN2200500000000,22,5,"Ascension Parish, LA",2014,"59,751","56,561","3,190",5.3
CN2200700000000,22,7,"Assumption Parish, LA",2014,"10,075","9,298",777,7.7
CN2200900000000,22,9,"Avoyelles Parish, LA",2014,"16,153","14,984","1,169",7.2
CN2201100000000,22,11,"Beauregard Parish, LA",2014,"14,818","13,810","1,008",6.8
CN2201300000000,22,13,"Bienville Parish, LA",2014,"5,938","5,467",471,7.9
CN2201500000000,22,15,"Bossier Parish, LA",2014,"58,226","54,880","3,346",5.7
CN2201700000000,22,17,"Caddo Parish, LA",2014,"111,244","102,954","8,290",7.5
CN2201900000000,22,19,"Calcasieu Parish, LA",2014,"94,664","89,060","5,604",5.9
CN2202100000000,22,21,"Caldwell Parish, LA",2014,"4,081","3,765",316,7.7
CN2202300000000,22,23,"Cameron Parish, LA",2014,"3,447","3,276",171,5
CN2202500000000,22,25,"Catahoula Parish, LA",2014,"3,849","3,538",311,8.1
CN2202700000000,22,27,"Claiborne Parish, LA",2014,"6,367","5,893",474,7.4
CN2202900000000,22,29,"Concordia Parish, LA",2014,"7,764","7,094",670,8.6
CN2203100000000,22,31,"De Soto Parish, LA",2014,"11,139","10,233",906,8.1
CN2203300000000,22,33,"East Baton Rouge Parish, LA",2014,"232,359","218,971","13,388",5.8
CN2203500000000,22,35,"East Carroll Parish, LA",2014,"2,224","1,898",326,14.7
CN2203700000000,22,37,"East Feliciana Parish, LA",2014,"8,200","7,670",530,6.5
CN2203900000000,22,39,"Evangeline Parish, LA",2014,"13,149","12,260",889,6.8
CN2204100000000,22,41,"Franklin Parish, LA",2014,"7,608","6,889",719,9.5
CN2204300000000,22,43,"Grant Parish, LA",2014,"8,422","7,821",601,7.1
CN2204500000000,22,45,"Iberia Parish, LA",2014,"32,610","30,546","2,064",6.3
CN2204700000000,22,47,"Iberville Parish, LA",2014,"14,389","13,261","1,128",7.8
